SYMBOL,avg -log10(p)
OR51S1,1.996281036
CABP1,1.996108834
SFMBT2,1.996108834
OR2D2,1.996108834
P3H4,1.831094638
SLC2A3,1.992465582
OMG,1.992380225
PANX2,1.666028016
TMEM106B,1.990421639
OR5W2,1.990336683
ELP5,1.649530282
RIN1,1.989912153
TNK2,1.988937305
SCN1A,1.98771126
PDE8B,1.987373649
NOD2,1.986194073
MRPL36,1.984137492
ERAP1,1.982299029
MDH1,1.981382707
CDK5R1,1.838549956
RAX2,1.669800247
CD44,1.980053318
TRIB3,1.979100327
HMGN4,1.97798426
ZNF462,1.976624062
NHSL1,1.976048293
TEX37,1.828579391
SCN8A,1.97526811
SLC7A6,1.974202759
TRIM72,1.973711938
INO80D,1.697396777
TRPM6,1.92808774
FUT7,1.972161322
MAL,1.971713491
ATP8B2,1.971510083
ANGPTL4,1.715938169
MAP1S,1.970900433
ACE,1.970778606
MRPL48,1.665356688
GFRA1,1.970129436
TAP2,1.969359805
NKIRAS2,1.968308831
RBMS3,1.967945625
RANBP17,1.966013635
TRIM51,1.965451753
MRPS5,1.965371543
DNAJC7,1.739362008
CACFD1,1.964570262
RNASE9,1.963610671
SLCO1B1,1.96197626
OR8K1,1.96189669
ANP32E,1.680686427
SEC22C,1.959674621
HCN3,1.958962792
ECM2,1.958844267
R3HDM2,1.958725775
PSMA2,1.958488887
OR51G1,1.956323414
SPRR2E,1.956166346
ARL5B,1.955813149
KCTD16,1.955068454
HLA-DOB,1.954442331
CDH12,1.953192786
SKAP2,1.675428726
GOLGA7,1.950743203
SELP,1.950704432
GINS4,1.948924692
INPP5K,1.948384477
BBS2,1.948345916
LIMS1,1.947536923
CFI,1.744351371
PARVB,1.946422213
ZGRF1,1.94611521
TEX264,1.945004138
CTNND1,1.942676295
CDS1,1.887337348
UGT2A1,1.942067773
VRK2,1.941536014
MSC,1.9360875
ADI1,1.938924676
RBM17,1.938585222
SORBS3,1.936891917
RDH8,1.936704179
CLCNKB,1.936366455
GPI,1.733358554
AAGAB,1.739157162
RAMAC,1.779303615
METRN,1.935280016
PLAUR,1.934719129
CACNG5,1.934607038
HABP4,1.93404702
NCLN,1.661081938
TNFRSF14,1.933636798
ZNF514,1.933599524
LRRIQ1,1.933189724
GRINA,1.655367321
ST6GALNAC4,1.932631529
YIPF3,1.759235003
LSM3,1.931443105
VPS35L,1.93129478
ABCC3,1.931109446
BANK1,1.929334247
MYL4,1.929112856
UBAP1,1.691136909
INPP5J,1.670379239
PUS1,1.925988554
LOC100652758,1.925073903
FPR2,1.924854673
TNXB,1.924307082
ACSM5,1.924124705
DDX52,1.92226882
NCR3,1.92223251
LGALS2,1.921506932
LY6G5B,1.920854947
FBLIM1,1.920131665
SLC2A6,1.919085041
PHF13,1.919048996
MBD3L1,1.776881943
OCA2,1.91771741
MNAT1,1.917358222
LINGO2,1.917250523
HPD,1.91721463
CNOT1,1.915459468
SNAI3,1.626434144
EXTL2,1.914780799
MFSD3,1.914745109
TMEM41B,1.914245756
SGK1,1.913925046
MFSD4B,1.912857721
PDIA6,1.912112151
PHF23,1.911899365
DHDDS,1.911793012
ANKRD65,1.911757566
PAX3,1.630124656
TMEM252,1.910306791
TRIM65,1.909953678
TP73,1.909812512
CYSRT1,1.909741947
PCNX2,1.909671393
ACTN4,1.814144463
SLC30A8,1.907033862
AP4M1,1.906123245
