SYMBOL,avg -log10(p)
LY6G5B,2.638903304
DDAH2,1.460792125
CLIC1,1.429557023
MSH5,2.443569144
SAPCD1,2.566319837
VWA7,2.051009484
VARS1,1.906893643
LSM2,1.383513983
HSPA1L,2.688627638
HSPA1B,1.491456815
SNHG32,1.747244029
SLC44A4,2.102989054
EHMT2,1.620849902
NELFE,2.138818186
SKIV2L,1.614375855
TNXB,2.876209372
FKBPL,1.648740367
PRRT1,2.639371437
GPSM3,2.412156585
NOTCH4,2.92844478
TSBP1-AS1,7.696847158
TSBP1,5.228739423
BTNL2,4.611256842
HLA-DRA,6.134758423
HLA-DQA1,7.571588419
HLA-DQB1,8.100026824
HLA-DQA2,3.363006357
HLA-DQB2,3.777811095
HLA-DOB,2.272677357
TAP2,2.360795843
HLA-DMB,1.429305317
HLA-DMA,1.616238476
HLA-DOA,2.048448787
COL11A2,1.8755936
B3GALT4,1.927419267
RGL2,1.322575562
ILRUN,3.256012304
SNRPC,2.959753785
UHRF1BP1,2.026724327
ZNF76,1.61672335
DEF6,1.787173414
KCTD20,1.358020498
STK38,1.322949958
KIF6,1.30118637
UNC5CL,2.795681145
TSPO2,2.641657657
APOBEC2,2.718118468
OARD1,2.730188579
NFYA,3.193898069
TREM2,8.240796738
TREML2,7.413627666
TREML4,4.686348776
TREM1,4.506012474
FRS3,1.495637895
PRICKLE4,1.7000571
TOMM6,2.46799769
USP49,2.537152964
MED20,1.748556465
GUCA1B,1.422480287
MRPS10,1.446750722
CUL9,2.202192524
TTBK1,2.01781473
CDC5L,1.687357275
RUNX2,2.220107827
CD2AP,8.578340509
ADGRF2,4.755023624
ADGRF4,4.182688349
OPN5,2.131952405
PTCHD4,1.432397311
ELOVL5,1.912112151
DST,2.931220637
BEND6,1.978645287
PHF3,1.612573087
LMBRD1,1.823012125
FAM135A,1.687378417
SDHAF4,1.629857153
IMPG1,1.765685232
PHIP,1.371549762
HMGN3,1.598651164
PRSS35,2.781937382
SNAP91,2.427023901
RRAGD,1.463694128
LYRM2,1.559894161
BACH2,2.82501035
ASCC3,2.581085825
ATG5,2.570010602
FOXO3,1.960110202
ARMC2,1.376213344
WASF1,1.524445026
CDC40,1.523893283
METTL24,2.186719319
RFPL4B,1.424627388
HS3ST5,3.543937776
SLC35F1,1.318216234
NKAIN2,1.463365815
HEY2,1.592575101
NCOA7,1.699795949
PTPRK,3.992593648
AKAP7,1.622220364
EYA4,1.859995049
MYB,1.738213913
CCDC28A-AS1,1.69736608
ECT2L,1.34424707
ABRACL,2.200656722
UTRN,1.395007586
PPIL4,2.131191043
GINM1,2.093869761
KATNA1,2.825329759
LATS1,3.023691297
NUP43,3.020137626
PCMT1,2.862835855
LRP11,3.101872933
RAET1E,1.443806086
ZDHHC14,1.449796115
LPA,2.508932605
LOC105378146,1.334278332
FAM20C,1.383461473
COX19,1.740645073
MAFK,3.399365299
TMEM184A,3.437074112
EIF3B,1.894523879
LFNG,1.68655463
AMZ1,1.993790759
WIPI2,2.2703742
CCZ1,2.668633448
PMS2,2.007822179
AIMP2,2.598323804
EIF2AK1,1.766217285
ANKRD61,1.902569146
USP42,2.071742447
RAC1,1.800286022
DAGLB,1.756359993
KDELR2,1.927928643
GRID2IP,2.081220261
UMAD1,2.732979282
GLCCI1,1.670744536
ICA1,2.798840307
NXPH1,1.560398916
TMEM106B,3.739349604
LOC102725191,1.451254447
TSPAN13,1.807153885
SNX13,1.692803579
FERD3L,1.538636555
IL6,1.858268105
NPY,1.332948839
JAZF1,2.87254151
CPVL,1.393736899
CRHR2,3.677346628
AVL9,2.984162522
DPY19L1P2,1.430930554
KBTBD2,2.608563961
NT5C3A,3.012226515
RP9,1.887227479
AOAH,1.860971453
GPR141,4.584671722
NME8,4.761912491
TRG,1.632886457
AMPH,2.395833034
POU6F2,2.286341484
CDK13,1.336138952
NUDCD3,1.316745775
DDX56,1.549627705
TMED4,1.392362719
ZMIZ2,3.05584811
PPIA,2.147190751
MYO1G,2.001919474
NACAD,1.366127737
C7orf57,1.519403852
IKZF1,3.577328102
FIGNL1,1.795066478
DDC,3.628322705
GRB10,3.16518524
EGFR,4.07978257
ZNF713,2.225439242
MRPS17,2.989912153
NIPSNAP2,2.114774518
ELN,1.483927591
LIMK1,1.758503327
EIF4H,1.567511744
LAT2,1.352304138
RFC2,1.952219075
GTF2I,2.759076521
PTPN12,2.223827269
RSBN1L,2.286504522
SEMA3E,1.344371819
LOC101927420,2.499434223
DMTF1,1.905433744
TMEM243,2.214250313
ANKIB1,2.229372561
PPP1R9A,2.051254594
KPNA7,1.368333053
PTCD1,2.134646829
ATP5MF-PTCD1,1.860081716
ZNF789,2.669850131
ZKSCAN5,2.404217837
FAM200A,2.22501658
ZNF655,2.568610469
TMEM225B,2.268320121
CYP3A4,1.770369344
TRIM4,2.415092564
GJC3,2.690393278
AZGP1,5.285292665
ZKSCAN1,6.616375705
ZSCAN21,4.169297545
ZNF3,4.677064916
COPS6,3.456363597
MCM7,4.615506634
AP4M1,5.350256498
TAF6,4.804426785
CNPY4,6.182748911
LAMTOR4,5.575915503
MAP11,3.600280876
GAL3ST4,6.717010206
GPC2,6.924656283
STAG3,6.387101427
CASTOR3,5.472292469
PVRIG,6.021631635
PILRB,5.988170208
PILRA,7.995186386
ZCWPW1,7.743050062
C7orf61,5.509925338
NYAP1,6.560811829
AGFG2,2.069410371
LRCH4,2.416184711
FBXO24,2.567663648
PCOLCE,1.425656153
TFR2,2.581483272
ACTL6B,1.48493459
GNB2,3.52322632
GIGYF1,3.607127255
EPO,1.819186224
ZAN,2.941308317
EPHB4,3.529913072
SLC12A9,3.94210578
TRIP6,3.595268885
SRRT,3.566198175
UFSP1,2.342246393
ACHE,3.27358253
MUC3A,1.319437878
MUC12,2.125286311
AP1S1,1.448757439
SH2B2,2.466215236
SPDYE6,3.391591648
ORAI2,2.110463002
ORC5,1.549612309
DOCK4,3.279374784
TMEM168,2.027858025
BMT2,2.320365519
GPR85,2.250402805
IRF5,2.717174041
TNPO3,2.629190943
ZC3HAV1L,1.574870861
ZC3HAV1,2.458907738
TBXAS1,2.385862409
PARP12,1.570312304
ADCK2,1.500477871
AGK,1.845058955
